Time Period,H41/H41/RESH4SCS_N.WW,H41/H41/RESPPAABH_N.WW,H41/H41/RESPPAAC2H_N.WW,H41/H41/RESPPAADH_N.WW,H41/H41/RESPPAAEH_N.WW,H41/H41/RESPPAATAL2H_N.WW,H41/H41/RESPPALD_N.WW,H41/H41/RESPPALDB_N.WW,H41/H41/RESPPALDH_N.WW,H41/H41/RESPPALDJ_N.WW,H41/H41/RESPPALDP_N.WW,H41/H41/RESPPALDQ_N.WW,H41/H41/RESPPALGAO_N.WW,H41/H41/RESPPALGASMO_N.WW,H41/H41/RESPPALGTR_N.WW,H41/H41/RESPPALGUO_N.WW,H41/H41/RESPPAOF_N.WW,WLODLL,WDTGAL,WSHOTSL
1/1/2020,3728,0,0,0,0,0,42,0,0,0,32,0,2347,1408677,255619,2328933,20792,1548849,403853,2328933
1/8/2020,3728,0,0,0,0,0,2,0,0,0,0,0,2347,1408677,210587,2347714,20632,1656629,350840,2347714
1/15/2020,59,0,0,0,0,0,9,0,0,0,9,0,2347,1404318,229468,2362635,20607,1673362,380802,2362635
1/22/2020,54,0,0,0,0,0,0,0,0,0,0,0,2347,1398642,186076,2381020,20526,1609594,411708,2381020
1/29/2020,51,0,0,0,0,0,34,0,0,0,34,0,2347,1387288,175125,2409108,20499,1612223,450537,2409108
2/5/2020,48,0,0,0,0,0,1,0,0,0,0,0,2347,1387289,170250,2427880,20453,1652873,416585,2427880
2/12/2020,55,0,0,0,0,0,0,0,0,0,0,0,2347,1391526,164400,2442621,20310,1695082,404341,2442621
2/19/2020,67,0,0,0,0,0,5,0,0,0,5,0,2347,1385784,163900,2451688,20112,1659021,421051,2451688
2/26/2020,44,0,0,0,0,0,13,0,0,0,13,0,2347,1371843,143440,2474060,20275,1680070,387615,2474060
3/4/2020,48,0,0,0,0,0,1,0,0,0,1,0,2347,1371846,195000,2502624,20775,1735006,381302,2502624
3/11/2020,58,0,0,0,0,0,11,0,0,0,11,0,2347,1371846,242375,2523031,21147,1779990,372337,2523031
3/18/2020,45,0,0,0,0,0,28224,0,0,0,28224,0,2347,1366676,441945,2640771,20363,1945394,401354,2640771
3/25/2020,206051,0,0,0,0,0,109119,30634,27718,0,50768,0,2347,1384563,352355,2978372,20133,2347747,384890,2978372
4/1/2020,348544,0,0,0,0,0,129461,52667,33050,0,43744,0,2347,1457721,263050,3340832,20584,2684398,506933,3340832
4/8/2020,358077,0,0,0,0,0,129637,53171,33018,0,43449,0,2347,1459701,192751,3634386,20373,2774506,827178,3634386
4/15/2020,378291,0,974,0,0,0,120349,50656,33409,0,36284,0,2347,1568171,181100,3788858,20525,3069874,856155,3788858
4/22/2020,409712,0,2732,0,0,0,122088,48810,31526,8009,33742,0,2347,1622487,157500,3909352,20405,3099980,949999,3909352
4/29/2020,438953,0,3372,0,0,0,123028,46277,25504,19488,31759,0,2347,1604720,158202,3971419,20525,3163513,1076232,3971419
5/6/2020,444885,0,3988,0,0,0,113342,42763,14903,29181,26494,0,2347,1605380,172700,4020191,20521,3165606,1143268,4020191
5/13/2020,440934,305,4292,0,0,0,114927,39820,10288,40580,24239,0,2347,1783761,157354,4057268,20484,3263431,1138172,4057268
5/20/2020,446103,1801,4293,0,0,0,108577,36449,7501,45090,19535,0,2347,1862841,157351,4089331,20595,3304221,1193297,4089331
5/27/2020,448946,34853,12794,0,0,0,106896,33244,6241,49211,18198,0,2347,1835110,181101,4109512,20564,3317688,1326897,4109512
6/3/2020,446945,36154,12795,16075,0,0,101956,29859,5847,55230,11011,0,2347,1835594,211550,4134356,20768,3257435,1431462,4134356
6/10/2020,444520,37374,12796,16077,31875,0,98227,26977,5829,56983,8427,0,2347,1835595,167300,4150409,21015,3190654,1504569,4150409
6/17/2020,352470,38916,12797,16079,31876,0,95031,24680,5306,57552,7479,0,2347,1918741,79053,4169340,20866,3069439,1565306,4169340
6/24/2020,274963,40617,12798,16080,37502,8500,95360,22889,3624,62597,6237,1,2347,1943441,70201,4197404,20958,2937657,1586573,4197404
7/1/2020,225414,41940,12799,16081,37502,8753,97133,20637,2486,68133,5860,0,2347,1911381,61201,4213220,20984,2863196,1656747,4213220
7/8/2020,179095,42644,12802,16082,37503,8753,93355,18927,1874,67685,4846,0,2347,1911401,0,4231355,20973,2813296,1624404,4231355
7/15/2020,154850,43423,10659,16084,37515,9439,93404,18635,1699,67989,5058,0,2347,1948388,2,4253229,21094,2732649,1740455,4253229
7/22/2020,121992,44046,10105,16085,37518,9439,92552,17541,1899,68503,4578,0,2347,1970600,0,4265878,21267,2659658,1777180,4265878
7/29/2020,117473,44210,8900,16086,37588,9439,90523,14273,1788,70816,3611,0,2347,1933380,0,4293563,21641,2685376,1792434,4293563
8/5/2020,105663,44351,8646,16087,37601,10123,84076,12253,1163,67820,2809,0,2347,1933466,0,4305651,21746,2753531,1706637,4305651
8/12/2020,99782,44413,8603,16088,37734,10124,83084,11484,693,68177,2690,0,2347,1933548,0,4320093,21518,2828170,1635143,4320093
8/19/2020,95780,44480,8588,16089,37983,10771,82190,10839,693,67800,2818,0,2347,1977897,0,4345544,21722,2821853,1636393,4345544
8/26/2020,92140,44604,8588,16541,38371,10771,81105,9961,243,68158,2704,0,2347,1949228,0,4358559,21594,2875400,1607449,4358559
9/2/2020,88967,44756,8588,16542,38687,11146,80462,9141,243,68090,2956,0,2347,1949236,0,4386637,21714,2850600,1651823,4386637
9/9/2020,72069,44790,8588,16543,38899,11147,78362,7889,243,67489,2710,0,2347,1949599,2,4393621,21582,2906854,1570533,4393621
9/16/2020,52274,44923,8588,16544,38959,11430,77948,7440,258,67181,3036,0,2347,2005035,0,4407005,21716,2869311,1692809,4407005
9/23/2020,31950,44972,8588,16546,39355,11431,78231,7344,233,67254,3359,0,2347,2024868,0,4431523,21510,2848085,1661732,4431523
9/30/2020,23895,45042,8589,16547,39718,11715,78373,7088,233,67573,3437,0,2347,1982775,1000,4445477,21553,2743246,1781679,4445477
10/7/2020,15838,45164,8590,16548,40076,11715,75924,6292,233,66426,2939,0,2347,1982789,1059,4469848,21551,2863357,1687434,4469848
10/14/2020,7478,45300,8559,16549,40547,11716,74670,6119,193,65577,2769,0,2347,2046839,1000,4484978,21614,2907734,1647937,4484978
10/21/2020,7642,45378,8559,16550,40893,11762,73212,5740,193,64126,3146,0,2347,2047235,1000,4509778,21780,2890130,1699497,4509778
10/28/2020,6799,45477,8576,16551,41273,11763,72462,5530,243,63899,2790,0,2347,2000305,1000,4527186,21672,2947256,1653039,4527186
11/4/2020,7248,45663,8559,16552,41683,12266,69660,5504,263,61522,2372,0,2347,2000324,1000,4538087,21644,2979537,1618568,4538087
11/11/2020,8036,45692,8559,16553,42337,12266,68178,5496,263,60102,2317,0,2347,2000368,1000,4552731,21647,2992099,1570768,4552731
11/18/2020,7141,45838,8557,16554,42894,12293,65187,5242,255,57523,2167,0,2347,2051176,1000,4584423,21850,3033229,1546924,4584423
11/25/2020,7845,45982,8557,16555,43371,12294,63864,5192,240,56003,2428,0,2347,2003592,1000,4606580,21833,3143863,1484036,4606580
12/2/2020,8449,46078,8563,16556,43783,12118,61613,4492,250,54879,1992,0,2347,2003621,1000,4614410,22118,3101235,1557239,4614410
12/9/2020,9565,46138,8557,16359,44821,12463,59426,4449,250,52776,1952,0,2347,2003656,1000,4630538,22027,3147656,1502361,4630538
12/16/2020,10048,46286,8557,21267,47515,12464,58809,4449,350,52139,1871,0,2347,2079093,1000,4662841,22189,3168826,1615873,4662841
12/23/2020,16833,46410,8557,21275,52154,12663,57761,4212,485,50930,2134,0,2347,2086574,1000,4682881,22214,3177310,1583308,4682881
12/30/2020,17883,46532,8557,21278,54073,12664,56701,3621,485,50860,1735,0,2347,2039468,1000,4688916,22429,3142977,1613514,4688916
1/6/2021,16911,26371,8557,11680,54155,6676,54216,2496,485,49750,1485,0,2347,2039469,1000,4699421,22340,3163779,1607396,4699421
1/13/2021,11150,26310,8557,11605,33282,6677,52152,1918,485,48235,1514,0,2347,2039542,1000,4723733,22141,3200869,1575875,4723733
1/20/2021,10909,26311,8557,11608,33290,6678,51848,1905,485,47408,2049,0,2347,2099849,1000,4743552,22118,3149807,1638331,4743552
1/27/2021,9567,26300,8558,11611,33301,6678,51098,1905,485,46718,1989,0,2347,2069769,1000,4766107,22060,3228751,1613377,4766107
2/3/2021,8679,26290,8558,11613,33311,6404,50865,1802,520,46867,1675,0,2347,2069789,1000,4772074,21896,3202722,1629729,4772074
2/10/2021,8463,26274,8558,11536,33321,6405,52378,1729,510,48509,1630,0,2347,2069790,800,4798901,22043,3298639,1576744,4798901
2/17/2021,8165,26240,8556,11538,33265,6405,54019,1729,265,50271,1755,0,2347,2170562,500,4824057,21847,3407871,1568893,4824057
2/24/2021,6765,26194,8556,11541,30958,6406,56321,1630,265,52334,2092,0,2347,2180678,500,4844574,21947,3384262,1439646,4844574
3/3/2021,4863,26135,8556,11545,30968,5647,56075,694,255,53388,1738,0,2347,2133400,500,4867279,21789,3564850,1420238,4867279
3/10/2021,2774,26027,8556,11548,30978,5648,56301,594,230,54122,1355,0,2347,2133436,500,4889007,21467,3646732,1310273,4889007
