Time Period,4/1/05,7/1/05,10/1/05,1/1/06,4/1/06,7/1/06,10/1/06,1/1/07,4/1/07,7/1/07,10/1/07,1/1/08,4/1/08,7/1/08,10/1/08,1/1/09,4/1/09,7/1/09,10/1/09,1/1/10,4/1/10,7/1/10,10/1/10,1/1/11,4/1/11,7/1/11,10/1/11,1/1/12,4/1/12,7/1/12,10/1/12,1/1/13,4/1/13,7/1/13,10/1/13,1/1/14,4/1/14,7/1/14,10/1/14,1/1/15,4/1/15,7/1/15,10/1/15,1/1/16,4/1/16,7/1/16,10/1/16,1/1/17,4/1/17,7/1/17,10/1/17,1/1/18,4/1/18,7/1/18,10/1/18,1/1/19,4/1/19,7/1/19,10/1/19,1/1/20,4/1/20,7/1/20,10/1/20,1/1/21,4/1/21
"Agriculture, forestry, fishing, and hunting",456.6,459.9,461.2,462.1,458.5,472.5,458.2,457.8,464.8,455.2,448.9,450,455.8,444.6,433.3,447.5,458,456,471.4,462.2,460.3,468.8,466.3,459.5,454.3,444.3,448.9,460.9,458.5,458.8,448.7,444.6,464.5,480.1,486.4,485.3,489.8,493.8,495.9,501.1,499.6,494.6,504.4,509.9,527.1,524.3,524.7,535.8,538.1,536.3,534.1,531.8,532.6,537.2,533,535.8,528.5,531.9,534.3,541,553,532,552,556.6,548.8
Mining,447.1,457.4,444.5,452.7,478.9,477.5,484.7,485.9,483.2,493.2,482.6,487.4,496,514.5,512.8,523.3,524.2,487.5,479.4,476,490.7,504.7,519,525.1,526.9,550.1,564.6,594.2,612,612.6,611,616.7,619.2,639.6,658,647,680.7,730,744.7,747.1,729.2,683.6,665.2,631.5,574.3,554.7,561.6,568.7,611.8,618.4,620.8,651.6,668.2,696.6,719,722,724.3,740.2,742.8,733.6,729.8,596.9,577.9,592.1,592.8
Utilities,444.1,447.6,459.8,445.8,426.5,440.3,441.4,424.8,448.1,454.9,452.3,466.7,488,510.4,490.2,475.7,453.5,427.5,417.6,446.4,472.2,480.5,493.5,488.2,470.3,467,466.4,457.2,447.1,466.2,468.5,464.2,466.3,477.5,469,478.9,481.4,482.4,482.1,498.5,503.1,497.4,484.7,472.5,469.6,469.1,473,459,444.1,464.7,455.1,462.8,467.6,478.1,462,456.9,452.4,451.2,440.7,451.3,452.6,450.3,449.6,442.8,452.5
Construction,1558.7,1567.2,1566.5,1574.6,1586.2,1556.1,1515.4,1468.1,1455.9,1466,1452.4,1423.4,1380.9,1368.4,1336.2,1278.6,1210.9,1173.1,1164.1,1107.2,1056.6,1092.8,1074.5,1079.5,1025.2,1050.4,1049.8,1064.1,1075.9,1067.2,1068.5,1086.8,1084.8,1110.9,1148.5,1155.4,1159.1,1181.1,1185.3,1206.5,1226.8,1286.3,1301.2,1305.9,1335.6,1343.4,1356.9,1385.1,1390.6,1381.8,1363.3,1376,1389.4,1400.2,1388.8,1352.4,1370.5,1366,1371.5,1383.8,1421.7,1370.4,1385.3,1425.7,1444.9
Manufacturing,5952,5988.7,5978.3,6095.5,6114.6,6095.3,6089,6123.1,6184.3,6281.9,6325.6,6321.4,6206.7,6107.2,5850.2,5574.4,5247.6,5113.9,5210.2,5317,5388,5465.9,5580.4,5576.7,5635,5617.1,5667.4,5727.4,5752,5767.1,5755.2,5810.8,5875.7,5932,5933.5,6003.4,5948.7,5986.2,6017.6,5980.3,5987.5,6015.5,6055.4,6006.9,6027.7,6015.1,6017.7,6016.6,6020.2,5994.5,6019.9,6107.8,6129.3,6169.1,6241.5,6279.2,6307.3,6293.4,6322.9,6268.1,6203.8,5616.2,6208.9,6297.7,6239.8
Wholesale trade,1343.2,1346.4,1349.4,1392.8,1399,1402.2,1412.4,1415.6,1413.6,1457.9,1468.6,1505.1,1527.6,1544.8,1493.1,1346.9,1209.2,1188,1220.4,1293,1347.4,1416.7,1464,1501.7,1546.5,1536.9,1574.4,1615.4,1635.8,1658.4,1660.4,1665.3,1695.9,1695,1703.4,1724.6,1721,1767.6,1789,1793.5,1778.6,1795,1796.6,1773.9,1732.5,1757.1,1776.9,1791.2,1813.7,1806,1824.2,1870.6,1865.8,1880.8,1889.3,1877.5,1862.1,1837.8,1828.2,1823.1,1814.3,1603.4,1789.1,1830.7,1894.6
Retail trade,1404.1,1431.3,1451.3,1417.7,1457.7,1463.8,1438.8,1458.6,1462.4,1440.3,1446.8,1444.9,1423.1,1401.4,1357.9,1252.7,1249.6,1259.5,1283.7,1301.6,1333,1358,1363,1380.9,1375.9,1368.9,1355.3,1374.8,1398.9,1380.4,1410.5,1424.3,1457.6,1455.9,1458.8,1468.1,1474.1,1514,1530.4,1532.3,1562.3,1591.5,1602.6,1606.2,1627.9,1643.3,1658.4,1667.6,1679.9,1685.9,1711.9,1744.7,1769.4,1779.9,1797,1788.7,1804.2,1821,1832.1,1841.6,1803.3,1714.8,1882.2,1879.6,2001.3
Transportation and warehousing,915.9,927.8,938.9,938,963.1,973.1,972.3,983.8,993.1,1000.5,994.9,1006.3,1010.6,991,961.9,947.6,894.1,861.3,875.1,881.1,887.4,909,945.5,961.5,965.9,975.1,984.8,996.5,1002,998.5,993.3,1014.4,1011.6,1021.5,1017.3,1033.3,1048.3,1065.8,1078.7,1106.2,1093.9,1092.5,1105.9,1098.7,1093.2,1095.4,1109.2,1122.5,1137.9,1147.9,1151.4,1152.5,1167.5,1185.2,1197.9,1207.4,1208.4,1210.1,1217.3,1226.3,1185.7,912.4,1033.4,1078.3,1125.9
Information,1105.3,1115.8,1133.3,1139.9,1161.3,1166.5,1181.4,1198.6,1205.8,1212.8,1218.9,1227.2,1248.6,1261.2,1261.6,1224.7,1206.6,1218.8,1223.1,1249.1,1263.7,1270.1,1288.9,1293.9,1307.1,1330.6,1348.2,1350.8,1365.6,1377,1381.6,1406,1405,1414.5,1444.9,1465,1480,1499.9,1513.9,1535,1550,1573.4,1595.2,1648.1,1672.8,1678.1,1698.3,1702.1,1734.3,1740.2,1769.1,1791.4,1827.8,1859.6,1889,1909.4,1936.9,1975.1,2004.6,2018.2,2001.2,1957.1,2036.7,2094.5,2192.5
"Finance, insurance, real estate, rental, and leasing",4581,4665.4,4772.7,4786.8,4827.2,4817.1,4827.4,4862.2,4877.4,4932.4,4930.2,4997.4,4869.4,4923.4,4860,4716.3,4727,4799,4712.5,4676.1,4716.4,4750.3,4772.9,4855.9,4874,4844.6,4835,4843.1,4984.6,4986.1,5054.5,5122,5135.9,5161.9,5158.7,5213.4,5266.8,5303.1,5348.2,5407.4,5446.8,5494,5504.6,5552.6,5546,5585.7,5612.8,5621.8,5670.6,5687,5724,5770.4,5798.9,5814.5,5830.5,5861,5910.5,5930.2,5965.5,6007.9,6018.9,5918.2,6047.7,6121,6277.2
