DATE,ICSA
2002-04-06,445000
2002-04-13,442000
2002-04-20,416000
2002-04-27,414000
2002-05-04,409000
2002-05-11,413000
2002-05-18,411000
2002-05-25,403000
2002-06-01,378000
2002-06-08,388000
2002-06-15,396000
2002-06-22,388000
2002-06-29,386000
2002-07-06,391000
2002-07-13,384000
2002-07-20,379000
2002-07-27,390000
2002-08-03,388000
2002-08-10,389000
2002-08-17,399000
2002-08-24,398000
2002-08-31,394000
2002-09-07,416000
2002-09-14,412000
2002-09-21,401000
2002-09-28,409000
2002-10-05,404000
2002-10-12,405000
2002-10-19,412000
2002-10-26,409000
2002-11-02,405000
2002-11-09,400000
2002-11-16,389000
2002-11-23,390000
2002-11-30,377000
2002-12-07,425000
2002-12-14,429000
2002-12-21,394000
2002-12-28,409000
2003-01-04,393000
2003-01-11,378000
2003-01-18,402000
2003-01-25,407000
2003-02-01,413000
2003-02-08,390000
2003-02-15,420000
2003-02-22,421000
2003-03-01,436000
2003-03-08,424000
2003-03-15,430000
2003-03-22,411000
2003-03-29,436000
2003-04-05,417000
2003-04-12,434000
2003-04-19,450000
2003-04-26,444000
2003-05-03,428000
2003-05-10,417000
2003-05-17,425000
2003-05-24,419000
2003-05-31,431000
2003-06-07,429000
2003-06-14,421000
2003-06-21,408000
2003-06-28,429000
2003-07-05,433000
2003-07-12,412000
2003-07-19,403000
2003-07-26,398000
2003-08-02,401000
2003-08-09,404000
2003-08-16,398000
2003-08-23,391000
2003-08-30,407000
2003-09-06,422000
2003-09-13,394000
2003-09-20,379000
2003-09-27,387000
2003-10-04,386000
2003-10-11,376000
2003-10-18,387000
2003-10-25,379000
2003-11-01,363000
2003-11-08,371000
2003-11-15,370000
2003-11-22,354000
2003-11-29,357000
2003-12-06,367000
2003-12-13,363000
2003-12-20,354000
2003-12-27,349000
2004-01-03,356000
2004-01-10,354000
2004-01-17,362000
2004-01-24,353000
2004-01-31,376000
2004-02-07,380000
2004-02-14,356000
2004-02-21,359000
2004-02-28,348000
2004-03-06,344000
2004-03-13,338000
2004-03-20,346000
2004-03-27,340000
2004-04-03,335000
2004-04-10,355000
2004-04-17,364000
2004-04-24,339000
2004-05-01,324000
2004-05-08,329000
2004-05-15,349000
2004-05-22,342000
2004-05-29,337000
2004-06-05,355000
2004-06-12,339000
2004-06-19,354000
2004-06-26,348000
2004-07-03,326000
2004-07-10,345000
2004-07-17,355000
2004-07-24,348000
2004-07-31,341000
2004-08-07,336000
2004-08-14,332000
2004-08-21,343000
2004-08-28,352000
2004-09-04,326000
2004-09-11,331000
2004-09-18,341000
2004-09-25,351000
2004-10-02,335000
2004-10-09,338000
2004-10-16,327000
2004-10-23,338000
2004-10-30,332000
2004-11-06,330000
2004-11-13,337000
2004-11-20,313000
2004-11-27,335000
2004-12-04,343000
2004-12-11,316000
2004-12-18,322000
2004-12-25,320000
2005-01-01,356000
2005-01-08,369000
2005-01-15,332000
2005-01-22,329000
2005-01-29,331000
2005-02-05,307000
2005-02-12,308000
2005-02-19,318000
2005-02-26,314000
2005-03-05,333000
2005-03-12,324000
2005-03-19,329000
2005-03-26,342000
2005-04-02,335000
2005-04-09,323000
2005-04-16,307000
2005-04-23,317000
2005-04-30,334000
2005-05-07,327000
2005-05-14,321000
2005-05-21,320000
2005-05-28,340000
2005-06-04,338000
2005-06-11,333000
2005-06-18,321000
2005-06-25,311000
2005-07-02,327000
2005-07-09,338000
2005-07-16,323000
2005-07-23,318000
2005-07-30,316000
2005-08-06,311000
2005-08-13,319000
2005-08-20,315000
2005-08-27,318000
2005-09-03,326000
2005-09-10,422000
2005-09-17,424000
2005-09-24,359000
2005-10-01,384000
2005-10-08,383000
2005-10-15,348000
2005-10-22,324000
2005-10-29,322000
2005-11-05,325000
2005-11-12,309000
2005-11-19,324000
2005-11-26,311000
2005-12-03,321000
2005-12-10,327000
2005-12-17,312000
2005-12-24,320000
2005-12-31,302000
2006-01-07,326000
2006-01-14,285000
2006-01-21,290000
2006-01-28,282000
2006-02-04,289000
2006-02-11,298000
2006-02-18,283000
2006-02-25,293000
2006-03-04,302000
2006-03-11,307000
2006-03-18,303000
2006-03-25,295000
2006-04-01,291000
2006-04-08,299000
2006-04-15,299000
2006-04-22,308000
2006-04-29,321000
2006-05-06,347000
2006-05-13,335000
2006-05-20,319000
2006-05-27,330000
2006-06-03,307000
2006-06-10,298000
2006-06-17,308000
2006-06-24,309000
2006-07-01,316000
2006-07-08,343000
2006-07-15,318000
2006-07-22,306000
2006-07-29,311000
2006-08-05,318000
2006-08-12,310000
2006-08-19,315000
2006-08-26,314000
2006-09-02,315000
2006-09-09,314000
2006-09-16,324000
2006-09-23,319000
2006-09-30,309000
2006-10-07,316000
2006-10-14,305000
2006-10-21,313000
2006-10-28,328000
2006-11-04,319000
2006-11-11,311000
2006-11-18,326000
2006-11-25,349000
2006-12-02,327000
2006-12-09,311000
2006-12-16,318000
2006-12-23,323000
2006-12-30,341000
2007-01-06,330000
2007-01-13,296000
2007-01-20,335000
2007-01-27,308000
2007-02-03,310000
2007-02-10,338000
2007-02-17,321000
2007-02-24,322000
2007-03-03,320000
2007-03-10,308000
2007-03-17,309000
2007-03-24,303000
2007-03-31,307000
2007-04-07,332000
2007-04-14,327000
2007-04-21,321000
2007-04-28,301000
2007-05-05,300000
2007-05-12,297000
2007-05-19,310000
2007-05-26,310000
2007-06-02,313000
2007-06-09,313000
2007-06-16,320000
2007-06-23,313000
2007-06-30,317000
2007-07-07,321000
2007-07-14,317000
2007-07-21,310000
2007-07-28,305000
2007-08-04,314000
2007-08-11,316000
2007-08-18,321000
2007-08-25,329000
2007-09-01,314000
2007-09-08,321000
2007-09-15,313000
2007-09-22,302000
2007-09-29,317000
2007-10-06,316000
2007-10-13,335000
2007-10-20,334000
2007-10-27,328000
2007-11-03,327000
2007-11-10,333000
2007-11-17,332000
2007-11-24,352000
2007-12-01,344000
2007-12-08,332000
2007-12-15,350000
2007-12-22,355000
2007-12-29,360000
2008-01-05,346000
2008-01-12,322000
2008-01-19,321000
2008-01-26,366000
2008-02-02,350000
2008-02-09,344000
2008-02-16,339000
2008-02-23,354000
2008-03-01,345000
2008-03-08,348000
2008-03-15,369000
2008-03-22,368000
2008-03-29,387000
2008-04-05,354000
2008-04-12,365000
2008-04-19,349000
2008-04-26,370000
2008-05-03,370000
2008-05-10,366000
2008-05-17,367000
2008-05-24,369000
2008-05-31,362000
2008-06-07,382000
2008-06-14,378000
2008-06-21,381000
2008-06-28,392000
2008-07-05,371000
2008-07-12,385000
2008-07-19,402000
2008-07-26,434000
2008-08-02,448000
2008-08-09,430000
2008-08-16,424000
2008-08-23,421000
2008-08-30,442000
2008-09-06,441000
2008-09-13,449000
2008-09-20,483000
2008-09-27,483000
2008-10-04,482000
2008-10-11,461000
2008-10-18,478000
2008-10-25,480000
2008-11-01,490000
2008-11-08,512000
2008-11-15,536000
2008-11-22,532000
2008-11-29,529000
2008-12-06,570000
2008-12-13,566000
2008-12-20,587000
2008-12-27,533000
2009-01-03,503000
2009-01-10,551000
2009-01-17,591000
2009-01-24,586000
2009-01-31,629000
2009-02-07,637000
2009-02-14,632000
2009-02-21,655000
2009-02-28,652000
2009-03-07,660000
2009-03-14,651000
2009-03-21,661000
2009-03-28,665000
2009-04-04,653000
2009-04-11,599000
2009-04-18,639000
2009-04-25,620000
2009-05-02,602000
2009-05-09,625000
2009-05-16,620000
2009-05-23,606000
2009-05-30,607000
2009-06-06,596000
2009-06-13,595000
2009-06-20,608000
2009-06-27,594000
2009-07-04,573000
2009-07-11,546000
2009-07-18,560000
2009-07-25,587000
2009-08-01,555000
2009-08-08,555000
2009-08-15,562000
2009-08-22,560000
2009-08-29,564000
2009-09-05,558000
2009-09-12,542000
2009-09-19,536000
2009-09-26,554000
2009-10-03,533000
2009-10-10,511000
2009-10-17,531000
2009-10-24,530000
2009-10-31,522000
2009-11-07,512000
2009-11-14,507000
2009-11-21,482000
2009-11-28,475000
2009-12-05,497000
2009-12-12,498000
2009-12-19,479000
2009-12-26,468000
2010-01-02,456000
2010-01-09,469000
2010-01-16,507000
2010-01-23,471000
2010-01-30,496000
2010-02-06,466000
2010-02-13,489000
2010-02-20,500000
2010-02-27,488000
2010-03-06,472000
2010-03-13,478000
2010-03-20,472000
2010-03-27,459000
2010-04-03,479000
2010-04-10,479000
2010-04-17,469000
2010-04-24,449000
2010-05-01,451000
2010-05-08,451000
2010-05-15,474000
2010-05-22,463000
2010-05-29,458000
2010-06-05,459000
2010-06-12,467000
2010-06-19,452000
2010-06-26,464000
2010-07-03,454000
2010-07-10,439000
2010-07-17,462000
2010-07-24,465000
2010-07-31,476000
2010-08-07,483000
2010-08-14,486000
2010-08-21,464000
2010-08-28,467000
2010-09-04,452000
2010-09-11,444000
2010-09-18,459000
2010-09-25,459000
2010-10-02,446000
2010-10-09,459000
2010-10-16,444000
2010-10-23,432000
2010-10-30,453000
2010-11-06,434000
2010-11-13,432000
2010-11-20,407000
2010-11-27,432000
2010-12-04,428000
2010-12-11,425000
2010-12-18,424000
2010-12-25,404000
2011-01-01,413000
2011-01-08,434000
2011-01-15,421000
2011-01-22,446000
2011-01-29,420000
2011-02-05,402000
2011-02-12,425000
2011-02-19,394000
2011-02-26,385000
2011-03-05,414000
2011-03-12,404000
2011-03-19,407000
2011-03-26,399000
2011-04-02,395000
2011-04-09,416000
2011-04-16,402000
2011-04-23,422000
2011-04-30,468000
2011-05-07,435000
2011-05-14,414000
2011-05-21,423000
2011-05-28,418000
2011-06-04,423000
2011-06-11,413000
2011-06-18,416000
2011-06-25,421000
2011-07-02,418000
2011-07-09,408000
2011-07-16,420000
2011-07-23,411000
2011-07-30,406000
2011-08-06,405000
2011-08-13,409000
2011-08-20,415000
2011-08-27,409000
2011-09-03,414000
2011-09-10,429000
2011-09-17,422000
2011-09-24,406000
2011-10-01,405000
2011-10-08,410000
2011-10-15,395000
2011-10-22,403000
2011-10-29,399000
2011-11-05,392000
2011-11-12,383000
2011-11-19,385000
2011-11-26,397000
2011-12-03,387000
2011-12-10,368000
2011-12-17,368000
2011-12-24,386000
2011-12-31,376000
2012-01-07,391000
2012-01-14,367000
2012-01-21,381000
2012-01-28,372000
2012-02-04,368000
2012-02-11,361000
2012-02-18,359000
2012-02-25,365000
2012-03-03,375000
2012-03-10,369000
2012-03-17,368000
2012-03-24,363000
2012-03-31,358000
2012-04-07,387000
2012-04-14,381000
2012-04-21,387000
2012-04-28,372000
2012-05-05,373000
2012-05-12,369000
2012-05-19,371000
2012-05-26,381000
2012-06-02,377000
2012-06-09,383000
2012-06-16,384000
2012-06-23,380000
2012-06-30,372000
2012-07-07,360000
2012-07-14,390000
2012-07-21,368000
2012-07-28,372000
2012-08-04,371000
2012-08-11,369000
2012-08-18,376000
2012-08-25,377000
2012-09-01,371000
2012-09-08,393000
2012-09-15,392000
2012-09-22,377000
2012-09-29,376000
2012-10-06,350000
2012-10-13,386000
2012-10-20,374000
2012-10-27,364000
2012-11-03,365000
2012-11-10,446000
2012-11-17,406000
2012-11-24,388000
2012-12-01,375000
2012-12-08,340000
2012-12-15,356000
2012-12-22,362000
2012-12-29,362000
2013-01-05,363000
2013-01-12,344000
2013-01-19,339000
2013-01-26,366000
2013-02-02,361000
2013-02-09,347000
2013-02-16,362000
2013-02-23,342000
2013-03-02,340000
2013-03-09,343000
2013-03-16,343000
2013-03-23,358000
2013-03-30,375000
2013-04-06,359000
2013-04-13,356000
2013-04-20,343000
2013-04-27,331000
2013-05-04,335000
2013-05-11,360000
2013-05-18,343000
2013-05-25,353000
2013-06-01,346000
2013-06-08,337000
2013-06-15,353000
2013-06-22,347000
2013-06-29,340000
2013-07-06,351000
2013-07-13,344000
2013-07-20,355000
2013-07-27,334000
2013-08-03,339000
2013-08-10,327000
2013-08-17,340000
2013-08-24,336000
2013-08-31,325000
2013-09-07,300000
2013-09-14,323000
2013-09-21,314000
2013-09-28,319000
2013-10-05,368000
2013-10-12,368000
2013-10-19,351000
2013-10-26,347000
2013-11-02,342000
2013-11-09,340000
2013-11-16,331000
2013-11-23,316000
2013-11-30,312000
2013-12-07,354000
2013-12-14,364000
2013-12-21,334000
2013-12-28,332000
2014-01-04,322000
2014-01-11,318000
2014-01-18,327000
2014-01-25,340000
2014-02-01,331000
2014-02-08,337000
2014-02-15,332000
2014-02-22,341000
2014-03-01,319000
2014-03-08,322000
2014-03-15,321000
2014-03-22,313000
2014-03-29,330000
2014-04-05,311000
2014-04-12,308000
2014-04-19,327000
2014-04-26,345000
2014-05-03,325000
2014-05-10,303000
2014-05-17,324000
2014-05-24,305000
2014-05-31,312000
2014-06-07,317000
2014-06-14,314000
2014-06-21,315000
2014-06-28,308000
2014-07-05,302000
2014-07-12,308000
2014-07-19,294000
2014-07-26,303000
2014-08-02,295000
2014-08-09,309000
2014-08-16,303000
2014-08-23,300000
2014-08-30,303000
2014-09-06,307000
2014-09-13,288000
2014-09-20,295000
2014-09-27,290000
2014-10-04,293000
2014-10-11,281000
2014-10-18,290000
2014-10-25,291000
2014-11-01,280000
2014-11-08,291000
2014-11-15,293000
2014-11-22,303000
2014-11-29,291000
2014-12-06,291000
2014-12-13,286000
2014-12-20,276000
2014-12-27,285000
2015-01-03,294000
2015-01-10,304000
2015-01-17,298000
2015-01-24,261000
2015-01-31,281000
2015-02-07,298000
2015-02-14,285000
2015-02-21,305000
2015-02-28,317000
2015-03-07,293000
2015-03-14,290000
2015-03-21,284000
2015-03-28,269000
2015-04-04,282000
2015-04-11,298000
2015-04-18,295000
2015-04-25,269000
2015-05-02,267000
2015-05-09,271000
2015-05-16,276000
2015-05-23,281000
2015-05-30,275000
2015-06-06,278000
2015-06-13,269000
2015-06-20,273000
2015-06-27,275000
2015-07-04,292000
2015-07-11,285000
2015-07-18,265000
2015-07-25,269000
2015-08-01,270000
2015-08-08,274000
2015-08-15,279000
2015-08-22,274000
2015-08-29,279000
2015-09-05,273000
2015-09-12,264000
2015-09-19,269000
2015-09-26,272000
2015-10-03,267000
2015-10-10,265000
2015-10-17,264000
2015-10-24,264000
2015-10-31,275000
2015-11-07,276000
2015-11-14,272000
2015-11-21,261000
2015-11-28,265000
2015-12-05,280000
2015-12-12,268000
2015-12-19,260000
2015-12-26,276000
2016-01-02,273000
2016-01-09,284000
2016-01-16,290000
2016-01-23,269000
2016-01-30,282000
2016-02-06,266000
2016-02-13,262000
2016-02-20,270000
2016-02-27,269000
2016-03-05,255000
2016-03-12,263000
2016-03-19,264000
2016-03-26,271000
2016-04-02,273000
2016-04-09,263000
2016-04-16,257000
2016-04-23,259000
2016-04-30,278000
2016-05-07,289000
2016-05-14,279000
2016-05-21,267000
2016-05-28,263000
2016-06-04,265000
2016-06-11,273000
2016-06-18,261000
2016-06-25,262000
2016-07-02,255000
2016-07-09,252000
2016-07-16,260000
2016-07-23,264000
2016-07-30,266000
2016-08-06,265000
2016-08-13,264000
2016-08-20,264000
2016-08-27,261000
2016-09-03,257000
2016-09-10,252000
2016-09-17,250000
2016-09-24,247000
2016-10-01,245000
2016-10-08,250000
2016-10-15,263000
2016-10-22,256000
2016-10-29,265000
2016-11-05,250000
2016-11-12,232000
2016-11-19,246000
2016-11-26,255000
2016-12-03,248000
2016-12-10,252000
2016-12-17,260000
2016-12-24,257000
2016-12-31,244000
2017-01-07,243000
2017-01-14,244000
2017-01-21,254000
2017-01-28,245000
2017-02-04,237000
2017-02-11,243000
2017-02-18,248000
2017-02-25,231000
2017-03-04,246000
2017-03-11,244000
2017-03-18,255000
2017-03-25,256000
2017-04-01,237000
2017-04-08,238000
2017-04-15,242000
2017-04-22,252000
2017-04-29,241000
2017-05-06,237000
2017-05-13,237000
2017-05-20,234000
2017-05-27,251000
2017-06-03,244000
2017-06-10,237000
2017-06-17,243000
2017-06-24,237000
2017-07-01,247000
2017-07-08,243000
2017-07-15,241000
2017-07-22,245000
2017-07-29,242000
2017-08-05,245000
2017-08-12,236000
2017-08-19,240000
2017-08-26,238000
2017-09-02,298000
2017-09-09,274000
2017-09-16,259000
2017-09-23,262000
2017-09-30,254000
2017-10-07,245000
2017-10-14,230000
2017-10-21,235000
2017-10-28,235000
2017-11-04,239000
2017-11-11,247000
2017-11-18,235000
2017-11-25,233000
2017-12-02,230000
2017-12-09,226000
2017-12-16,239000
2017-12-23,243000
2017-12-30,241000
2018-01-06,249000
2018-01-13,228000
2018-01-20,233000
2018-01-27,227000
2018-02-03,224000
2018-02-10,227000
2018-02-17,220000
2018-02-24,215000
2018-03-03,226000
2018-03-10,223000
2018-03-17,224000
2018-03-24,220000
2018-03-31,235000
2018-04-07,235000
2018-04-14,235000
2018-04-21,208000
2018-04-28,212000
2018-05-05,210000
2018-05-12,224000
2018-05-19,230000
2018-05-26,221000
2018-06-02,221000
2018-06-09,218000
2018-06-16,220000
2018-06-23,220000
2018-06-30,229000
2018-07-07,229000
2018-07-14,212000
2018-07-21,220000
2018-07-28,218000
2018-08-04,217000
2018-08-11,212000
2018-08-18,215000
2018-08-25,214000
2018-09-01,209000
2018-09-08,210000
2018-09-15,212000
2018-09-22,212000
2018-09-29,216000
2018-10-06,212000
2018-10-13,212000
2018-10-20,219000
2018-10-27,216000
2018-11-03,216000
2018-11-10,217000
2018-11-17,220000
2018-11-24,230000
2018-12-01,225000
2018-12-08,203000
2018-12-15,214000
2018-12-22,220000
2018-12-29,226000
2019-01-05,218000
2019-01-12,215000
2019-01-19,211000
2019-01-26,236000
2019-02-02,233000
2019-02-09,232000
2019-02-16,218000
2019-02-23,223000
2019-03-02,220000
2019-03-09,225000
2019-03-16,218000
2019-03-23,215000
2019-03-30,211000
2019-04-06,203000
2019-04-13,203000
2019-04-20,224000
2019-04-27,230000
2019-05-04,225000
2019-05-11,216000
2019-05-18,213000
2019-05-25,218000
2019-06-01,220000
2019-06-08,220000
2019-06-15,219000
2019-06-22,224000
2019-06-29,223000
2019-07-06,205000
2019-07-13,217000
2019-07-20,210000
2019-07-27,216000
2019-08-03,214000
2019-08-10,218000
2019-08-17,214000
2019-08-24,215000
2019-08-31,218000
2019-09-07,208000
2019-09-14,211000
2019-09-21,215000
2019-09-28,217000
2019-10-05,212000
2019-10-12,217000
2019-10-19,212000
2019-10-26,216000
2019-11-02,211000
2019-11-09,222000
2019-11-16,221000
2019-11-23,215000
2019-11-30,219000
2019-12-07,238000
2019-12-14,227000
2019-12-21,218000
2019-12-28,218000
2020-01-04,210000
2020-01-11,206000
2020-01-18,219000
2020-01-25,210000
2020-02-01,205000
2020-02-08,207000
2020-02-15,215000
2020-02-22,218000
2020-02-29,216000
2020-03-07,212000
2020-03-14,256000
2020-03-21,2923000
2020-03-28,5985000
2020-04-04,6149000
2020-04-11,4869000
2020-04-18,4202000
2020-04-25,3451000
2020-05-02,2784000
2020-05-09,2315000
2020-05-16,2149000
2020-05-23,1887000
2020-05-30,1605000
2020-06-06,1537000
2020-06-13,1472000
2020-06-20,1460000
2020-06-27,1436000
2020-07-04,1398000
2020-07-11,1479000
2020-07-18,1398000
2020-07-25,1262000
2020-08-01,1043000
2020-08-08,883000
2020-08-15,920000
2020-08-22,872000
2020-08-29,875000
2020-09-05,881000
2020-09-12,860000
2020-09-19,860000
2020-09-26,803000
2020-10-03,782000
2020-10-10,833000
2020-10-17,798000
2020-10-24,768000
2020-10-31,765000
2020-11-07,728000
2020-11-14,732000
2020-11-21,762000
2020-11-28,719000
2020-12-05,853000
2020-12-12,873000
2020-12-19,803000
2020-12-26,763000
2021-01-02,781000
2021-01-09,904000
2021-01-16,886000
2021-01-23,836000
2021-01-30,837000
2021-02-06,863000
2021-02-13,847000
2021-02-20,747000
2021-02-27,761000
2021-03-06,734000
2021-03-13,765000
2021-03-20,658000
2021-03-27,729000
2021-04-03,742000
2021-04-10,586000
2021-04-17,566000
2021-04-24,590000
2021-05-01,507000
2021-05-08,478000
2021-05-15,444000
2021-05-22,405000
2021-05-29,388000
2021-06-05,374000
2021-06-12,418000
2021-06-19,416000
2021-06-26,368000
2021-07-03,386000
2021-07-10,368000
2021-07-17,424000
2021-07-24,399000
2021-07-31,387000
2021-08-07,377000
2021-08-14,349000
2021-08-21,354000
2021-08-28,345000
2021-09-04,310000
