DATE,NPPTTL
2002-04-01,109038.952
2002-05-01,108901.204
2002-06-01,108842.688
2002-07-01,108751.938
2002-08-01,108640.650
2002-09-01,108576.361
2002-10-01,108532.401
2002-11-01,108544.121
2002-12-01,108445.769
2003-01-01,108475.166
2003-02-01,108533.896
2003-03-01,108622.000
2003-04-01,108730.609
2003-05-01,108645.878
2003-06-01,108579.795
2003-07-01,108588.369
2003-08-01,108624.907
2003-09-01,108787.597
2003-10-01,109018.969
2003-11-01,109039.933
2003-12-01,108975.968
2004-01-01,109039.640
2004-02-01,109192.599
2004-03-01,109554.000
2004-04-01,109750.095
2004-05-01,109990.672
2004-06-01,110051.686
2004-07-01,110110.262
2004-08-01,110134.751
2004-09-01,110245.149
2004-10-01,110665.937
2004-11-01,110929.635
2004-12-01,110973.086
2005-01-01,111079.449
2005-02-01,111225.132
2005-03-01,111416.000
2005-04-01,111635.569
2005-05-01,111863.295
2005-06-01,112044.229
2005-07-01,112259.355
2005-08-01,112492.579
2005-09-01,112623.676
2005-10-01,112602.376
2005-11-01,112857.843
2005-12-01,113230.954
2006-01-01,113618.870
2006-02-01,113983.326
2006-03-01,114144.000
2006-04-01,114310.692
2006-05-01,114423.343
2006-06-01,114729.711
2006-07-01,114962.066
2006-08-01,115181.688
2006-09-01,115241.749
2006-10-01,115314.595
2006-11-01,115546.424
2006-12-01,115563.321
2007-01-01,115597.541
2007-02-01,115583.246
2007-03-01,115644.000
2007-04-01,115728.098
2007-05-01,115784.473
2007-06-01,115788.655
2007-07-01,115781.836
2007-08-01,115824.387
2007-09-01,115833.255
2007-10-01,115710.593
2007-11-01,115679.321
2007-12-01,115766.142
2008-01-01,115863.468
2008-02-01,115857.906
2008-03-01,115832.000
2008-04-01,115480.784
2008-05-01,115180.439
2008-06-01,114823.976
2008-07-01,114578.294
2008-08-01,114202.876
2008-09-01,113808.390
2008-10-01,113327.781
2008-11-01,112954.921
2008-12-01,112273.431
2009-01-01,111523.966
2009-02-01,110673.269
2009-03-01,109952.000
2009-04-01,109482.247
2009-05-01,109252.909
2009-06-01,108984.713
2009-07-01,108773.656
2009-08-01,108668.973
2009-09-01,108498.508
2009-10-01,108251.947
2009-11-01,108011.003
2009-12-01,107734.028
2010-01-01,107595.105
2010-02-01,107466.132
2010-03-01,107361.000
2010-04-01,107465.585
2010-05-01,107628.588
2010-06-01,107791.794
2010-07-01,107954.528
2010-08-01,108053.510
2010-09-01,108146.861
2010-10-01,108225.210
2010-11-01,108381.625
2010-12-01,108469.695
2011-01-01,108523.924
2011-02-01,108714.771
2011-03-01,109096.000
2011-04-01,109268.858
2011-05-01,109304.723
2011-06-01,109516.114
2011-07-01,109855.170
2011-08-01,110063.142
2011-09-01,110250.400
2011-10-01,110424.786
2011-11-01,110643.509
2011-12-01,110978.522
2012-01-01,111291.253
2012-02-01,111648.722
2012-03-01,111809.000
2012-04-01,111846.531
2012-05-01,112120.342
2012-06-01,112246.783
2012-07-01,112506.359
2012-08-01,112781.845
2012-09-01,112932.008
2012-10-01,113103.508
2012-11-01,113258.989
2012-12-01,113501.369
2013-01-01,113566.980
2013-02-01,113659.362
2013-03-01,113810.000
2013-04-01,113661.282
2013-05-01,113763.438
2013-06-01,113973.174
2013-07-01,114228.020
2013-08-01,114400.248
2013-09-01,114577.317
2013-10-01,114659.923
2013-11-01,114841.547
2013-12-01,115040.676
2014-01-01,115304.738
2014-02-01,115684.254
2014-03-01,116135.000
2014-04-01,116501.332
2014-05-01,116677.815
2014-06-01,116859.272
2014-07-01,116952.899
2014-08-01,117167.647
2014-09-01,117468.489
2014-10-01,117649.144
2014-11-01,117867.203
2014-12-01,118202.901
2015-01-01,118470.121
2015-02-01,118697.890
2015-03-01,118940.000
2015-04-01,119251.331
2015-05-01,119482.735
2015-06-01,119602.570
2015-07-01,119702.992
2015-08-01,119826.887
2015-09-01,120030.182
2015-10-01,120183.377
2015-11-01,120315.198
2015-12-01,120638.783
2016-01-01,120881.959
2016-02-01,121156.056
2016-03-01,121476.000
2016-04-01,121581.913
2016-05-01,121610.232
2016-06-01,121962.099
2016-07-01,122069.281
2016-08-01,122176.503
2016-09-01,122464.689
2016-10-01,122577.815
2016-11-01,122960.660
2016-12-01,123108.427
