DATE,PCEC96
2015-08-01,11948.3
2015-09-01,11963.2
2015-10-01,11970.7
2015-11-01,11997.4
2015-12-01,12041.4
2016-01-01,12053.8
2016-02-01,12133.3
2016-03-01,12086.4
2016-04-01,12122.9
2016-05-01,12141.9
2016-06-01,12193.1
2016-07-01,12206.2
2016-08-01,12216.0
2016-09-01,12249.3
2016-10-01,12242.7
2016-11-01,12262.4
2016-12-01,12344.1
2017-01-01,12347.6
2017-02-01,12355.4
2017-03-01,12413.8
2017-04-01,12416.5
2017-05-01,12420.9
2017-06-01,12452.8
2017-07-01,12470.1
2017-08-01,12483.5
2017-09-01,12547.7
2017-10-01,12555.2
2017-11-01,12627.6
2017-12-01,12713.2
2018-01-01,12687.7
2018-02-01,12696.1
2018-03-01,12739.1
2018-04-01,12786.0
2018-05-01,12821.0
2018-06-01,12842.2
2018-07-01,12878.0
2018-08-01,12918.1
2018-09-01,12905.7
2018-10-01,12960.5
2018-11-01,13014.0
2018-12-01,12892.0
2019-01-01,12948.5
2019-02-01,12948.2
2019-03-01,13028.8
2019-04-01,13055.6
2019-05-01,13086.5
2019-06-01,13124.2
2019-07-01,13161.9
2019-08-01,13199.4
2019-09-01,13215.4
2019-10-01,13223.1
2019-11-01,13266.6
2019-12-01,13257.2
2020-01-01,13307.3
2020-02-01,13313.2
2020-03-01,12422.9
2020-04-01,10910.6
2020-05-01,11833.0
2020-06-01,12525.6
2020-07-01,12706.4
2020-08-01,12793.5
2020-09-01,12962.5
2020-10-01,13015.6
2020-11-01,12943.5
2020-12-01,12824.6
2021-01-01,13201.3
2021-02-01,13025.4
2021-03-01,13621.3
2021-04-01,13679.7
2021-05-01,13614.2
2021-06-01,13686.7
2021-07-01,13666.9
