Data Table for Daily Case Trends - The United States
Date generated: Mon Sep 20 2021 17:29:18 GMT-0400 (EDT)
State,Date,New Cases,7-Day Moving Avg,Historic Cases
United States,Sep 19 2021,28741,118878,87
United States,Sep 18 2021,61228,130097,575
United States,Sep 17 2021,151551,141166,1030
United States,Sep 16 2021,160287,143314,1313
United States,Sep 15 2021,163419,146907,1604
United States,Sep 14 2021,149935,147474,1430
United States,Sep 13 2021,116985,141137,164
United States,Sep 12 2021,107274,138246,79
United States,Sep 11 2021,138716,138669,527
United States,Sep 10 2021,166587,139053,946
United States,Sep  9 2021,185433,141214,1046
United States,Sep  8 2021,167391,140510,1826
United States,Sep  7 2021,105573,143675,1075
United States,Sep  6 2021,96751,154136,823
United States,Sep  5 2021,110237,158128,277
United States,Sep  4 2021,141401,158487,417
United States,Sep  3 2021,181717,159186,884
United States,Sep  2 2021,180505,159213,1214
United States,Sep  1 2021,189541,159929,1159
United States,Aug 31 2021,178803,159785,1102
United States,Aug 30 2021,124698,158951,406
United States,Aug 29 2021,112746,158155,179
United States,Aug 28 2021,146293,158996,361
United States,Aug 27 2021,181908,158587,783
United States,Aug 26 2021,185519,156368,585
United States,Aug 25 2021,188533,153853,637
United States,Aug 24 2021,172960,152149,667
United States,Aug 23 2021,119128,150197,341
United States,Aug 22 2021,118631,149161,70
United States,Aug 21 2021,143434,147661,376
United States,Aug 20 2021,166375,146873,2281
United States,Aug 19 2021,167916,144411,670
United States,Aug 18 2021,176601,142791,1280
United States,Aug 17 2021,159296,139535,536
United States,Aug 16 2021,111876,137153,251
United States,Aug 15 2021,108133,134914,74
United States,Aug 14 2021,137915,132896,167
United States,Aug 13 2021,149141,130581,607
United States,Aug 12 2021,156580,127288,631
United States,Aug 11 2021,153809,123706,549
United States,Aug 10 2021,142619,120314,487
United States,Aug  9 2021,96204,116676,385
United States,Aug  8 2021,94007,114567,42
United States,Aug  7 2021,121707,111781,99
United States,Aug  6 2021,126096,107670,8113
United States,Aug  5 2021,131502,105056,665
United States,Aug  4 2021,130064,100603,640
United States,Aug  3 2021,117158,95722,748
United States,Aug  2 2021,81441,91470,131
United States,Aug  1 2021,74501,88150,44
United States,Jul 31 2021,92928,84927,164
United States,Jul 30 2021,107800,80422,691
United States,Jul 29 2021,100333,75018,391
United States,Jul 28 2021,95894,70843,436
United States,Jul 27 2021,87399,66505,424
