Month,Total,White,Black,Asian,Hispanic,,
Aug-17,4.4,3.9,7.5,3.9,5.1,,
Sep-17,4.2,3.7,7.2,3.6,5.1,,
Oct-17,4.1,3.6,7.6,3,5,,
Nov-17,4.2,3.7,7.5,3,4.9,,
Dec-17,4.1,3.7,6.9,2.5,5,,
Jan-18,4,3.5,7.5,3,4.9,,
Feb-18,4.1,3.6,6.8,2.9,4.9,,
Mar-18,4,3.5,6.6,3.1,4.9,,
Apr-18,4,3.6,6.5,2.9,4.8,,
May-18,3.8,3.5,5.8,2.2,4.8,,
Jun-18,4,3.5,6.5,3.3,4.6,,
Jul-18,3.8,3.3,6.4,3.1,4.5,,
Aug-18,3.8,3.4,6.2,2.9,4.7,,
Sep-18,3.7,3.3,6.2,3.5,4.6,,
Oct-18,3.8,3.3,6.4,3.1,4.4,,
Nov-18,3.8,3.4,6.2,2.8,4.6,,
Dec-18,3.9,3.4,6.8,3.3,4.5,,
Jan-19,4,3.5,6.9,3,4.8,,
Feb-19,3.8,3.2,7,3.1,4.3,,
Mar-19,3.8,3.3,6.5,3.1,4.5,,
Apr-19,3.7,3.2,6.6,2.3,4.1,,
May-19,3.7,3.3,6.1,2.5,4.1,,
Jun-19,3.6,3.3,6,2.2,4.3,,
Jul-19,3.6,3.3,5.6,2.8,4.4,,
Aug-19,3.7,3.4,5.2,2.8,4.2,,
Sep-19,3.5,3.2,5.4,2.5,4,,
Oct-19,3.6,3.3,5.6,2.9,4.2,,
Nov-19,3.6,3.3,5.7,2.6,4.3,,
Dec-19,3.6,3.1,6.2,2.6,4.3,,
Jan-20,3.5,3,6.1,3.1,4.3,,
Feb-20,3.5,3,6,2.4,4.4,,
Mar-20,4.4,3.9,6.8,4.1,6,,
Apr-20,14.8,14.1,16.7,14.5,18.9,,
May-20,13.3,12.3,16.7,14.9,17.6,,
Jun-20,11.1,10.1,15.3,13.9,14.5,,
Jul-20,10.2,9.2,14.4,11.9,12.7,,
Aug-20,8.4,7.4,12.8,10.6,10.5,,
Sep-20,7.8,7,12,8.8,10.3,,
Oct-20,6.9,6,10.8,7.6,8.8,,
Nov-20,6.7,5.9,10.3,6.7,8.4,,
Dec-20,6.7,6,9.9,5.9,9.3,,
Jan-21,6.3,5.7,9.2,6.6,8.6,,
Feb-21,6.2,5.6,9.9,5.1,8.5,,
Mar-21,6,5.4,9.6,6,7.9,,
Apr-21,6.1,5.3,9.7,5.7,7.9,,
May-21,5.8,5.1,9.1,5.5,7.3,,
Jun-21,5.9,5.2,9.2,5.8,7.4,,
Jul-21,5.4,4.8,8.2,5.3,6.6,,
